SYSCALL(args) 		 = return
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warnings.py\0", 0x0, 0x1B6)		 = 6 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 7 0
fstatfs64(0x7, 0x7FFEE787A438, 0x0)		 = 0 0
getdirentries64(0x7, 0x7FEF2F810A00, 0x2000)		 = 8160 0
close_nocancel(0x7)		 = 0 0
fstat64(0x6, 0x7FFEE787B5A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warnings.pyc\0", 0x0, 0x1B6)		 = 7 0
fstat64(0x7, 0x7FFEE787B398, 0x0)		 = 0 0
read_nocancel(0x7, "\003\363\r\n\2571\333^c\0", 0x1000)		 = 4096 0
fstat64(0x7, 0x7FFEE787B4B8, 0x0)		 = 0 0
read_nocancel(0x7, "\0", 0x294C)		 = 10564 0
read_nocancel(0x7, "ameworks/Python.framework/Versions/2.7/lib/python2.7/warnings.pyR\005\0", 0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/linecache\0", 0x7FFEE787AD00, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/linecache.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/linecachemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/linecache.py\0", 0x0, 0x1B6)		 = 7 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 8 0
fstatfs64(0x8, 0x7FFEE7879F38, 0x0)		 = 0 0
getdirentries64(0x8, 0x7FEF2F812400, 0x2000)		 = 8160 0
getdirentries64(0x8, 0x7FEF2F812400, 0x2000)		 = 8168 0
close_nocancel(0x8)		 = 0 0
fstat64(0x7, 0x7FFEE787B0A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/linecache.pyc\0", 0x0, 0x1B6)		 = 8 0
fstat64(0x8, 0x7FFEE787AE98, 0x0)		 = 0 0
read_nocancel(0x8, "\003\363\r\n\2531\333^c\0", 0x1000)		 = 3572 0
fstat64(0x8, 0x7FFEE787AFB8, 0x0)		 = 0 0
read_nocancel(0x8, "Sx\222\0", 0x1000)		 = 0 0
madvise(0x7FEF2F700000, 0xC000, 0x9)		 = 0 0
close_nocancel(0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/types\0", 0x7FFEE787AD00, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/types.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/typesmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/types.py\0", 0x0, 0x1B6)		 = 7 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 8 0
fstatfs64(0x8, 0x7FFEE7879F38, 0x0)		 = 0 0
getdirentries64(0x8, 0x7FEF2F811800, 0x2000)		 = 8160 0
getdirentries64(0x8, 0x7FEF2F811800, 0x2000)		 = 8168 0
close_nocancel(0x8)		 = 0 0
fstat64(0x7, 0x7FFEE787B0A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/types.pyc\0", 0x0, 0x1B6)		 = 8 0
fstat64(0x8, 0x7FFEE787AE98, 0x0)		 = 0 0
read_nocancel(0x8, "\003\363\r\n\2571\333^c\0", 0x1000)		 = 3075 0
fstat64(0x8, 0x7FFEE787AFB8, 0x0)		 = 0 0
read_nocancel(0x8, "/Frameworks/Python.framework/Versions/2.7/lib/python2.7/types.pyt\002\0", 0x1000)		 = 0 0
close_nocancel(0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
close_nocancel(0x6)		 = 0 0
close_nocancel(0x5)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/UserDict\0", 0x7FFEE787B700, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/UserDict.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/UserDictmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/UserDict.py\0", 0x0, 0x1B6)		 = 5 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 6 0
fstatfs64(0x6, 0x7FFEE787A938, 0x0)		 = 0 0
getdirentries64(0x6, 0x7FEF2F812C00, 0x2000)		 = 8160 0
getdirentries64(0x6, 0x7FEF2F812C00, 0x2000)		 = 8168 0
close_nocancel(0x6)		 = 0 0
fstat64(0x5, 0x7FFEE787BAA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/UserDict.pyc\0", 0x0, 0x1B6)		 = 6 0
fstat64(0x6, 0x7FFEE787B898, 0x0)		 = 0 0
read_nocancel(0x6, "\003\363\r\n\2471\333^c\0", 0x1000)		 = 4096 0
fstat64(0x6, 0x7FFEE787B9B8, 0x0)		 = 0 0
read_nocancel(0x6, "\0", 0x1EC1)		 = 7865 0
read_nocancel(0x6, "st 1 arguments, got %dR\001\0", 0x8)		 = 0 0
close_nocancel(0x6)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_abcoll\0", 0x7FFEE787B200, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_abcoll.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_abcollmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_abcoll.py\0", 0x0, 0x1B6)		 = 6 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 7 0
fstatfs64(0x7, 0x7FFEE787A438, 0x0)		 = 0 0
getdirentries64(0x7, 0x7FEF2F816400, 0x2000)		 = 8160 0
getdirentries64(0x7, 0x7FEF2F816400, 0x2000)		 = 8168 0
close_nocancel(0x7)		 = 0 0
fstat64(0x6, 0x7FFEE787B5A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_abcoll.pyc\0", 0x0, 0x1B6)		 = 7 0
fstat64(0x7, 0x7FFEE787B398, 0x0)		 = 0 0
read_nocancel(0x7, "\003\363\r\n\2501\333^c\0", 0x1000)		 = 4096 0
fstat64(0x7, 0x7FFEE787B4B8, 0x0)		 = 0 0
read_nocancel(0x7, "rameworks/Python.framework/Versions/2.7/lib/python2.7/_abcoll.pyR\004\0", 0x68AA)		 = 26786 0
read_nocancel(0x7, "\0", 0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc\0", 0x7FFEE787AD00, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abcmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.py\0", 0x0, 0x1B6)		 = 7 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 8 0
fstatfs64(0x8, 0x7FFEE7879F38, 0x0)		 = 0 0
getdirentries64(0x8, 0x7FEF2F816C00, 0x2000)		 = 8160 0
getdirentries64(0x8, 0x7FEF2F816C00, 0x2000)		 = 8168 0
getdirentries64(0x8, 0x7FEF2F816C00, 0x2000)		 = 8144 0
getdirentries64(0x8, 0x7FEF2F816C00, 0x2000)		 = 1176 0
close_nocancel(0x8)		 = 0 0
fstat64(0x7, 0x7FFEE787B0A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.pyc\0", 0x0, 0x1B6)		 = 8 0
fstat64(0x8, 0x7FFEE787AE98, 0x0)		 = 0 0
read_nocancel(0x8, "\003\363\r\n\2501\333^c\0", 0x1000)		 = 4096 0
fstat64(0x8, 0x7FFEE787AFB8, 0x0)		 = 0 0
read_nocancel(0x8, " only register classesNs'\0", 0x1000)		 = 2597 0
read_nocancel(0x8, "registryw\0", 0x1000)		 = 0 0
close_nocancel(0x8)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset\0", 0x7FFEE787A800, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefsetmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py\0", 0x0, 0x1B6)		 = 8 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 9 0
fstatfs64(0x9, 0x7FFEE7879A38, 0x0)		 = 0 0
getdirentries64(0x9, 0x7FEF3100AE00, 0x2000)		 = 8160 0
getdirentries64(0x9, 0x7FEF3100AE00, 0x2000)		 = 8168 0
close_nocancel(0x9)		 = 0 0
fstat64(0x8, 0x7FFEE787ABA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.pyc\0", 0x0, 0x1B6)		 = 9 0
fstat64(0x9, 0x7FFEE787A998, 0x0)		 = 0 0
read_nocancel(0x9, "\003\363\r\n\2501\333^c\0", 0x1000)		 = 4096 0
fstat64(0x9, 0x7FFEE787AAB8, 0x0)		 = 0 0
read_nocancel(0x9, "s/2.7/lib/python2.7/_weakrefset.pyt\004\0", 0x1F36)		 = 7982 0
read_nocancel(0x9, "ibrary/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.pyR\027\0", 0x8)		 = 0 0
close_nocancel(0x9)		 = 0 0
close_nocancel(0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x108462000 0
close_nocancel(0x6)		 = 0 0
close_nocancel(0x5)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy_reg\0", 0x7FFEE787B700, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy_reg.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy_regmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy_reg.py\0", 0x0, 0x1B6)		 = 5 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 6 0
fstatfs64(0x6, 0x7FFEE787A938, 0x0)		 = 0 0
getdirentries64(0x6, 0x7FEF32825800, 0x2000)		 = 8160 0
getdirentries64(0x6, 0x7FEF32825800, 0x2000)		 = 8168 0
close_nocancel(0x6)		 = 0 0
fstat64(0x5, 0x7FFEE787BAA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy_reg.pyc\0", 0x0, 0x1B6)		 = 6 0
fstat64(0x6, 0x7FFEE787B898, 0x0)		 = 0 0
read_nocancel(0x6, "\003\363\r\n\2511\333^c\0", 0x1000)		 = 4096 0
fstat64(0x6, 0x7FFEE787B9B8, 0x0)		 = 0 0
read_nocancel(0x6, "\002\037\001\022\001\006\001\032\002\020\002\030\003\003\001\r\001\003\001\004\002c\003\0", 0x1000)		 = 1621 0
read_nocancel(0x6, "(\003\0", 0x1000)		 = 0 0
close_nocancel(0x6)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/traceback\0", 0x7FFEE787BC00, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/traceback.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/tracebackmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/traceback.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787AE38, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF32825C00, 0x2000)		 = 8160 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787BFA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/traceback.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787BD98, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2571\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787BEB8, 0x0)		 = 0 0
read_nocancel(0x5, "quadruple (filename, line\n    number, function name, text) representing the information that is\n    usually printed for a stack trace.  The text is a string with\n    leading and trailing whitespace stripped; if the source is not\n    available it is None.\n ", 0x218F)		 = 8583 0
read_nocancel(0x5, ") in the following ways: (1) if\n    traceback is not None, it prints a header \"Traceback (most recent\n    call last):\"; (2) it prints the exception type and value after the\n    stack trace; (3) if type is SyntaxError and value has the\n    appropriate forma", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
geteuid(0x0, 0x0, 0x0)		 = 0 0
getuid(0x0, 0x0, 0x0)		 = 0 0
getegid(0x0, 0x0, 0x0)		 = 0 0
getgid(0x0, 0x0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sysconfig\0", 0x7FFEE787B640, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sysconfig.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sysconfigmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sysconfig.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787A878, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF32826400, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF32826400, 0x2000)		 = 8168 0
getdirentries64(0x5, 0x7FEF32826400, 0x2000)		 = 8144 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787B9E0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sysconfig.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787B7D8, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2561\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787B8F8, 0x0)		 = 0 0
read_nocancel(0x5, "on2.7/sysconfig.pyt\f\0", 0x3A2B)		 = 14883 0
read_nocancel(0x5, "d\0", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
lstat64("/System\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS\0", 0x7FFEE787B118, 0x0)		 = 0 0
lstat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Python\0", 0x7FFEE787B118, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Modules/Setup.dist\0", 0x7FFEE787B3F8, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Modules/Setup.local\0", 0x7FFEE787B3F8, 0x0)		 = -1 Err#2
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re\0", 0x7FFEE787B2A0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/remodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787A4D8, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF32827000, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF32827000, 0x2000)		 = 8168 0
getdirentries64(0x5, 0x7FEF32827000, 0x2000)		 = 8144 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787B640, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787B438, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2551\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787B558, 0x0)		 = 0 0
read_nocancel(0x5, "ports the following functions:\n    match    Match a regular expression pattern to the beginning of a string.\n    search   Search a string for the presence of a pattern.\n    sub      Substitute occurrences of a pattern found in a string.\n    subn     Same a", 0x2887)		 = 10367 0
read_nocancel(0x5, "\\w, \\W, \\b, \\B, dependent on the current locale.\n    M  MULTILINE   \"^\" matches the beginning of lines (after a newline)\n                   as well as the string.\n                   \"$\" matches the end of lines (before a newline) as well\n                  ", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compilemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py\0", 0x0, 0x1B6)		 = 5 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 6 0
fstatfs64(0x6, 0x7FFEE7879FD8, 0x0)		 = 0 0
getdirentries64(0x6, 0x7FEF32827C00, 0x2000)		 = 8160 0
getdirentries64(0x6, 0x7FEF32827C00, 0x2000)		 = 8168 0
getdirentries64(0x6, 0x7FEF32827C00, 0x2000)		 = 8144 0
close_nocancel(0x6)		 = 0 0
fstat64(0x5, 0x7FFEE787B140, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.pyc\0", 0x0, 0x1B6)		 = 6 0
fstat64(0x6, 0x7FFEE787AF38, 0x0)		 = 0 0
read_nocancel(0x6, "\003\363\r\n\2561\333^c\0", 0x1000)		 = 4096 0
fstat64(0x6, 0x7FFEE787B058, 0x0)		 = 0 0
read_nocancel(0x6, "TEt\a\0", 0x2406)		 = 9214 0
read_nocancel(0x6, "ersions/2.7/lib/python2.7/sre_compile.pyR%\0", 0x8)		 = 0 0
close_nocancel(0x6)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse\0", 0x7FFEE787A8A0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parsemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py\0", 0x0, 0x1B6)		 = 6 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 7 0
fstatfs64(0x7, 0x7FFEE7879AD8, 0x0)		 = 0 0
getdirentries64(0x7, 0x7FEF3282C600, 0x2000)		 = 8160 0
getdirentries64(0x7, 0x7FEF3282C600, 0x2000)		 = 8168 0
getdirentries64(0x7, 0x7FEF3282C600, 0x2000)		 = 8144 0
getdirentries64(0x7, 0x7FEF3282C600, 0x2000)		 = 1176 0
close_nocancel(0x7)		 = 0 0
fstat64(0x6, 0x7FFEE787AC40, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.pyc\0", 0x0, 0x1B6)		 = 7 0
fstat64(0x7, 0x7FFEE787AA38, 0x0)		 = 0 0
read_nocancel(0x7, "\003\363\r\n\2561\333^c\0", 0x1000)		 = 4096 0
fstat64(0x7, 0x7FFEE787AB58, 0x0)		 = 0 0
read_nocancel(0x7, "\0", 0x49B4)		 = 18860 0
read_nocancel(0x7, "\0", 0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_constants\0", 0x7FFEE787A3A0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_constants.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_constantsmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_constants.py\0", 0x0, 0x1B6)		 = 7 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 8 0
fstatfs64(0x8, 0x7FFEE78795D8, 0x0)		 = 0 0
getdirentries64(0x8, 0x7FEF3282E800, 0x2000)		 = 8160 0
close_nocancel(0x8)		 = 0 0
fstat64(0x7, 0x7FFEE787A740, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_constants.pyc\0", 0x0, 0x1B6)		 = 8 0
fstat64(0x8, 0x7FFEE787A538, 0x0)		 = 0 0
read_nocancel(0x8, "\003\363\r\n\2561\333^c\0", 0x1000)		 = 4096 0
fstat64(0x8, 0x7FFEE787A658, 0x0)		 = 0 0
read_nocancel(0x8, "LAG_IGNORECASE %d\ns\033\0", 0x1000)		 = 2349 0
read_nocancel(0x8, "\0", 0x1000)		 = 0 0
close_nocancel(0x8)		 = 0 0
close_nocancel(0x7)		 = 0 0
close_nocancel(0x6)		 = 0 0
close_nocancel(0x5)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_locale.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_localemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_locale.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_locale.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin\0", 0x7FFEE787AAB8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/_locale.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/_localemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/_locale.py\0", 0x0, 0x1B6)		 = -1 Err#2
